Date,Currency,Rate
2023-12-01,CNY,7.7685
2023-12-01,CZK,24.331
2023-12-01,DKK,7.4543
2023-12-01,GBP,0.86045
2023-12-01,HKD,8.497
2023-12-01,HUF,379.7
2023-12-01,IDR,16840
2023-12-01,ILS,4.053
2023-12-01,INR,90.61
2023-12-01,ISK,150.9
2023-12-01,JPY,161.14
2023-12-01,KRW,1420.73
2023-12-01,MXN,18.8153
2023-12-01,MYR,5.0824
2023-12-01,NOK,11.698
2023-12-01,NZD,1.7638
2023-12-01,PHP,60.252
2023-12-01,PLN,4.343
2023-12-01,RON,4.9713
2023-12-01,SEK,11.3715
2023-12-01,SGD,1.4551
2023-12-01,THB,38.215
2023-12-01,TRY,31.445
2023-12-01,USD,1.0875
2023-12-01,ZAR,20.333
2023-12-04,AUD,1.6351
2023-12-04,BGN,1.9558
2023-12-04,BRL,5.3175
2023-12-04,CAD,1.4716
2023-12-04,CHF,0.9476
2023-12-04,CNY,7.758
2023-12-04,CZK,24.394
2023-12-04,DKK,7.4564
2023-12-04,GBP,0.8579
2023-12-04,HKD,8.4929
2023-12-04,HUF,379.28
2023-12-04,IDR,16820
2023-12-04,ILS,4.0403
2023-12-04,INR,90.62
2023-12-04,ISK,151.1
2023-12-04,JPY,159.47
2023-12-04,KRW,1417.9
2023-12-04,MXN,18.7638
2023-12-04,MYR,5.0618
2023-12-04,NOK,11.678
2023-12-04,NZD,1.7555
2023-12-04,PHP,60.127
2023-12-04,PLN,4.3393
2023-12-04,RON,4.9677
2023-12-04,SEK,11.321
2023-12-04,SGD,1.4515
2023-12-04,THB,38.035
2023-12-04,TRY,31.398
2023-12-04,USD,1.0868
2023-12-04,ZAR,20.363
2023-12-05,AUD,1.6492
2023-12-05,BGN,1.9558
2023-12-05,BRL,5.3636
2023-12-05,CAD,1.47
2023-12-05,CHF,0.9456
2023-12-05,CNY,7.7269
2023-12-05,CZK,24.369
2023-12-05,DKK,7.4559
2023-12-05,GBP,0.85723
2023-12-05,HKD,8.4562
2023-12-05,HUF,379.3
2023-12-05,IDR,16740
2023-12-05,ILS,4.031
2023-12-05,INR,90.19
2023-12-05,ISK,150.7
2023-12-05,JPY,159.13
2023-12-05,KRW,1422.18
2023-12-05,MXN,18.9133
2023-12-05,MYR,5.0483
2023-12-05,NOK,11.7865
2023-12-05,NZD,1.7637
2023-12-05,PHP,59.832
2023-12-05,PLN,4.3225
2023-12-05,RON,4.9671
2023-12-05,SEK,11.3095
2023-12-05,SGD,1.4487
2023-12-05,THB,38.133
2023-12-05,TRY,31.292
2023-12-05,USD,1.0817
2023-12-05,ZAR,20.472
2023-12-06,AUD,1.6391
2023-12-06,BGN,1.9558
2023-12-06,BRL,5.2994
2023-12-06,CAD,1.4616
2023-12-06,CHF,0.9429
2023-12-06,CNY,7.7148
2023-12-06,CZK,24.335
2023-12-06,DKK,7.4557
2023-12-06,GBP,0.8561
2023-12-06,HKD,8.4173
2023-12-06,HUF,380.57
2023-12-06,IDR,16732
2023-12-06,ILS,3.9969
2023-12-06,INR,89.83
2023-12-06,ISK,150.1
2023-12-06,JPY,158.7
2023-12-06,KRW,1417.89
2023-12-06,MXN,18.676
2023-12-06,MYR,5.0317
2023-12-06,NOK,11.796
2023-12-06,NZD,1.7509
2023-12-06,PHP,59.613
2023-12-06,PLN,4.3403
2023-12-06,RON,4.9687
2023-12-06,SEK,11.3065
2023-12-06,SGD,1.4452
2023-12-06,THB,37.895
2023-12-06,TRY,31.192
2023-12-06,USD,1.0778
2023-12-06,ZAR,20.44
2023-12-07,AUD,1.6407
2023-12-07,BGN,1.9558
2023-12-07,BRL,5.2614
2023-12-07,CAD,1.4656
2023-12-07,CHF,0.9446
2023-12-07,CNY,7.7058
2023-12-07,CZK,24.356
2023-12-07,DKK,7.4551
2023-12-07,GBP,0.8575
2023-12-07,HKD,8.4174
2023-12-07,HUF,381.38
2023-12-07,IDR,16738
